Id;Protocolo;Fecha recolección;Semana epidemiológica;Año;Mes;Cod SIREA;Región;Provincia;Canton;Distrito;Latitud;Longitud;Cuadricula;poblacion expuesta;Animales muestreados;Especie;Resultado Preliminar;Casos
;184006;15/2/2024;7;2024;2;701-236050;Huetar Caribe;LIMON;LIMON;MATAMA;9.8824;-83.0341;1344;3;1;BOVINOS;POSITIVO;ACUMULADOS
;184012;15/2/2024;7;2024;2;;Huetar Caribe;LIMON;SIQUIRRES;PACUARITO;10.08596;-83.41908;1109;4;1;BOVINOS;POSITIVO;ACUMULADOS
;184013;15/2/2024;7;2024;2;705-011017;Huetar Caribe;LIMON;MATINA;MATINA;10.01041;-83.34954;1166;12;1;BOVINOS;POSITIVO;ACUMULADOS
;184015;15/2/2024;7;2024;2;705-177602;Huetar Caribe;LIMON;MATINA;MATINA;10.0643;-83.307;1111;50;1;BOVINOS;POSITIVO;ACUMULADOS
;184022;15/2/2024;7;2024;2;606-324793;Pacífico Central;PUNTARENAS;QUEPOS;SAVEGRE;9.310144;-83.925285;1860;114;1;BOVINOS;POSITIVO;ACUMULADOS
;184023;15/2/2024;7;2024;2;602-041327;Pacífico Central;PUNTARENAS;ESPARZA;SAN JERONIMO;10.04063;-84.65701;1137;20;1;BOVINOS;POSITIVO;ACUMULADOS
;ABRAHAN;24/10/2023;43;2023;10;;Brunca;PUNTARENAS;GOLFITO;GUAYCARA;8.78388;-83.01785;;20;1;BOVINOS;POSITIVO;ACUMULADOS
;COPEG;9/8/2023;32;2023;8;610-001010;Brunca;PUNTARENAS;CORREDORES;CANOAS;8.569392;-82.902702;2190;20;1;BOVINOS;POSITIVO;ACUMULADOS
;COPEG;4/9/2023;36;2023;9;610-007730;Brunca;PUNTARENAS;CORREDORES;CORREDOR;8.61126;-82.90632;2170;28;1;BOVINOS;POSITIVO;ACUMULADOS
181681;D0018-24;5/1/2024;1;2024;1;602-236225;Pacífico Central;PUNTARENAS;ESPARZA;SAN RAFAEL;9.951287;-84.649477;1195;170;1;BOVINOS;POSITIVO;ACUMULADOS
181882;D0028-24;8/1/2024;2;2024;1;606-042160;Pacífico Central;PUNTARENAS;QUEPOS;SAVEGRE;9.33407;-83.85375;1838;100;1;BOVINOS;POSITIVO;ACUMULADOS
181883;D0034-24;9/1/2024;2;2024;1;205-068243;Central Occidental;ALAJUELA;ATENAS;ESCOBAL;9.95236;-84.39945;1257;20;1;BOVINOS;POSITIVO;ACUMULADOS
210026;D0037-25;9/12/2024;50;2024;12;406-087259;Central Occidental;HEREDIA;SAN ISIDRO;SAN JOSE;10.0206;-84.0369;1151;1;1;SILVESTRES TERRESTRES;POSITIVO;ACUMULADOS
209686;D0039-25;7/1/2025;2;2025;1;;Huetar Caribe;LIMON;LIMON;LIMON;9.999099;-83.026848;;1;1;HUMANO;POSITIVO;ACUMULADOS
210154;D0046-25;27/12/2024;52;2024;12;201-080910;Central Occidental;ALAJUELA;ALAJUELA;ALAJUELA;10.0207;-84.2193;1147;1;1;CANINOS;POSITIVO;ACUMULADOS
210155;D0047-25;26/12/2024;52;2024;12;201-037157;Central Occidental;ALAJUELA;ALAJUELA;GARITA;9.97047;-84.31488;1202;111;1;BOVINOS;POSITIVO;ACUMULADOS
210156;D0048-25;19/12/2024;51;2024;12;;Central Occidental;HEREDIA;BARVA;BARVA;10.010633;-84.130883;;1;1;CANINOS;POSITIVO;ACUMULADOS
210167;D0049-25;13/12/2024;50;2024;12;201-037157;Central Occidental;ALAJUELA;ALAJUELA;GARITA;9.97047;-84.31488;1202;111;2;BOVINOS;POSITIVO;ACUMULADOS
210157;D0050-25;4/1/2025;1;2025;1;207-178298;Central Occidental;ALAJUELA;PALMARES;PALMARES;10.0659;-84.4474;1086;1;1;CANINOS;POSITIVO;ACUMULADOS
210158;D0051-25;4/1/2025;1;2025;1;206-068030;Central Occidental;ALAJUELA;NARANJO;NARANJO;10.1111;-84.4018;1032;1;1;CANINOS;POSITIVO;ACUMULADOS
210159;D0052-25;14/12/2024;50;2024;12;201-183769;Central Occidental;ALAJUELA;ALAJUELA;ALAJUELA;10.0207;-84.2193;1147;1;1;FELINOS;POSITIVO;ACUMULADOS
210160;D0053-25;3/1/2025;1;2025;1;206-119131;Central Occidental;ALAJUELA;NARANJO;NARANJO;10.1111;-84.3561;1033;1;1;CANINOS;POSITIVO;ACUMULADOS
210161;D0054-25;4/1/2025;1;2025;1;207-178298;Central Occidental;ALAJUELA;PALMARES;PALMARES;10.0659;-84.4474;1086;1;1;CANINOS;POSITIVO;ACUMULADOS
210162;D0056-25;14/12/2024;50;2024;12;201-037157;Central Occidental;ALAJUELA;ALAJUELA;GARITA;9.97047;-84.31488;1202;111;1;BOVINOS;POSITIVO;ACUMULADOS
210163;D0057-25;20/12/2024;51;2024;12;202-038392;Central Occidental;ALAJUELA;SAN RAMON;PIEDADES SUR;10.04965;-84.56288;1083;100;1;BOVINOS;POSITIVO;ACUMULADOS
210027;D0058-25;3/1/2025;1;2025;1;206-119131;Central Occidental;ALAJUELA;NARANJO;NARANJO;10.1111;-84.3561;1033;1;1;CANINOS;POSITIVO;ACUMULADOS
210164;D0059-25;30/12/2024;52;2024;12;212-180498;Central Occidental;ALAJUELA;VALVERDE VEGA;SARCHI NORTE;10.1111;-84.3561;1033;1;1;CANINOS;POSITIVO;ACUMULADOS
210165;D0060-25;18/12/2024;51;2024;12;;Central Occidental;ALAJUELA;NARANJO;ROSARIO;10.043151;-84.394322;;100;1;BOVINOS;POSITIVO;ACUMULADOS
210166;D0062-25;18/12/2024;51;2024;12;;Central Occidental;ALAJUELA;PALMARES;BUENOS AIRES;10.060357;-84.433123;;1;1;CANINOS;POSITIVO;ACUMULADOS
